station_name,diesel_price,x_coord,y_coord,traffic_delay
Exit_0_Station_0,4.16,354.6901934589539,372.7641398315173,1.9852910582341388
Exit_0_Station_1,4.16,354.6889455432752,372.7674755466493,1.9852910582341388
Exit_0_Station_2,4.17,354.7869162966721,373.2653724962364,1.9852910582341388
Exit_0_Station_3,4.24,355.04875990098793,373.6284190019639,1.9852910582341388
Exit_0_Station_4,4.17,354.2950078934932,373.2323622126472,1.9852910582341388
Exit_0_Station_5,4.19,354.6520118047697,373.19672790218044,1.9852910582341388
Exit_0_Station_6,4.21,354.48242650322914,373.39808334758834,1.9852910582341388
Exit_0_Station_7,4.17,354.4251785556664,373.0687014566335,1.9852910582341388
Exit_0_Station_8,4.19,355.10054136729343,373.36033294462214,1.9852910582341388
Exit_0_Station_9,4.22,354.9910695114179,372.7703788921092,1.9852910582341388
Exit_0_Station_10,4.17,355.182698758525,373.4530076817507,1.9852910582341388
Exit_0_Station_11,4.23,354.91531785563564,373.4061886333929,1.9852910582341388
Exit_0_Station_12,4.21,354.58544387669355,372.97146452636434,1.9852910582341388
Exit_0_Station_13,4.21,354.747955645182,373.1274289754615,1.9852910582341388
Exit_0_Station_14,4.24,354.7067706137722,373.69435697250987,1.9852910582341388
Exit_0_Station_15,4.24,354.5188026163327,373.1085532748608,1.9852910582341388
Exit_0_Station_16,4.15,354.7167036945649,373.0398420522329,1.9852910582341388
Exit_0_Station_17,4.22,354.98954260530996,373.24835868850573,1.9852910582341388
Exit_0_Station_18,4.2,354.45258607637413,373.70476667290086,1.9852910582341388
Exit_0_Station_19,4.24,355.221238046626,373.5639376350839,1.9852910582341388
Exit_0_Station_20,4.15,354.73942837797455,373.07935755005667,1.9852910582341388
Exit_0_Station_21,4.19,354.39800758060846,373.1716440484857,1.9852910582341388
Exit_0_Station_22,4.23,355.02492529445385,373.6740528213873,1.9852910582341388
Exit_0_Station_23,4.16,354.6155676744725,373.12420164559336,1.9852910582341388
Exit_0_Station_24,4.17,354.3140392233829,373.2108752648041,1.9852910582341388
Exit_0_Station_25,4.16,354.5244542708617,373.008823641295,1.9852910582341388
Exit_0_Station_26,4.18,355.0131365317376,373.0351260487871,1.9852910582341388
Exit_0_Station_27,4.21,354.68888443951704,373.0531403277205,1.9852910582341388
Exit_0_Station_28,4.18,354.7579726259733,373.16194643789345,1.9852910582341388
Exit_0_Station_29,4.17,355.1301100710402,372.86401507961045,1.9852910582341388
Exit_0_Station_30,4.22,355.00456532621934,373.31090681662766,1.9852910582341388
Exit_0_Station_31,4.24,354.8787941752366,372.9811419164548,1.9852910582341388
Exit_0_Station_32,4.16,354.5417040167318,373.5049727062083,1.9852910582341388
Exit_0_Station_33,4.19,354.58485094622097,373.42547473120396,1.9852910582341388
Exit_0_Station_34,4.22,354.59639725256466,373.45166323570896,1.9852910582341388
Exit_0_Station_35,4.15,355.2106603985755,372.9087092347744,1.9852910582341388
Exit_0_Station_36,4.19,355.0515872742481,373.62923370326354,1.9852910582341388
Exit_0_Station_37,4.21,354.8888030591836,373.63887664651037,1.9852910582341388
Exit_0_Station_38,4.2,354.4533527222919,373.54522340274775,1.9852910582341388
Exit_0_Station_39,4.2,355.0479491442841,372.74962174830085,1.9852910582341388
Exit_0_Station_40,4.17,354.51445974374457,372.8814101076036,1.9852910582341388
Exit_0_Station_41,4.18,355.09170395878976,373.6558230717223,1.9852910582341388
Exit_0_Station_42,4.21,354.46771654638394,373.2740266353669,1.9852910582341388
Exit_0_Station_43,4.17,355.00208621701745,373.32664011414346,1.9852910582341388
Exit_0_Station_44,4.23,354.6132846490805,373.03972127337,1.9852910582341388
Exit_0_Station_45,4.21,354.9141791544746,373.22557076082484,1.9852910582341388
Exit_0_Station_46,4.16,355.07104764120703,373.67190216797326,1.9852910582341388
Exit_0_Station_47,4.17,354.6538625281049,373.41488149718487,1.9852910582341388
Exit_0_Station_48,4.2,354.45811002353355,373.1225107926692,1.9852910582341388
Exit_0_Station_49,4.2,354.7008527573511,373.7129157704295,1.9852910582341388
Exit_0_Station_50,4.2,354.8678377853307,372.9140779664188,1.9852910582341388
Exit_0_Station_51,4.19,355.07069758209764,373.1421442918087,1.9852910582341388
Exit_0_Station_52,4.21,354.25131095883796,372.81557036618034,1.9852910582341388
Exit_0_Station_53,4.22,354.9178661881743,372.92661703545235,1.9852910582341388
Exit_0_Station_54,4.22,355.2046938879963,373.1634000277606,1.9852910582341388
Exit_0_Station_55,4.17,354.84780222035954,373.6909931052909,1.9852910582341388
Exit_0_Station_56,4.16,354.8125175528935,372.8272607176026,1.9852910582341388
Exit_0_Station_57,4.18,355.00903708380446,372.84211494575766,1.9852910582341388
Exit_0_Station_58,4.15,354.5171285070887,373.33720221290605,1.9852910582341388
Exit_0_Station_59,4.16,354.68119984058825,373.35210889399224,1.9852910582341388
Exit_0_Station_60,4.21,355.2116814661965,373.18308207918983,1.9852910582341388
Exit_0_Station_61,4.18,355.02995666617323,373.5389431227435,1.9852910582341388
Exit_0_Station_62,4.2,354.2601138448741,373.32719869736775,1.9852910582341388
Exit_0_Station_63,4.15,355.0688785749848,373.16219940794593,1.9852910582341388
Exit_0_Station_64,4.23,354.79432775244993,373.4106281443327,1.9852910582341388
Exit_0_Station_65,4.21,354.7793731422816,372.7482979052058,1.9852910582341388
Exit_0_Station_66,4.15,354.6735967792321,373.13832811228644,1.9852910582341388
Exit_0_Station_67,4.18,354.47511487690383,373.5077871768595,1.9852910582341388
Exit_0_Station_68,4.15,354.8591418740826,373.6220355946393,1.9852910582341388
Exit_0_Station_69,4.15,354.5524073866681,372.8010864585629,1.9852910582341388
Exit_0_Station_70,4.24,354.68675113142575,373.5718342583513,1.9852910582341388
Exit_0_Station_71,4.22,355.0336238616409,373.17175299004,1.9852910582341388
Exit_0_Station_72,4.2,354.3448196182516,373.3839034495947,1.9852910582341388
Exit_0_Station_73,4.15,354.6688534224651,373.15001648935487,1.9852910582341388
Exit_0_Station_74,4.24,354.75454606981396,373.72599207545494,1.9852910582341388
Exit_0_Station_75,4.23,355.17210153729945,373.54786093316744,1.9852910582341388
Exit_0_Station_76,4.18,354.9168265439678,372.80625746701475,1.9852910582341388
Exit_0_Station_77,4.18,355.0148239582818,373.4597562019242,1.9852910582341388
Exit_0_Station_78,4.17,354.76267181473145,372.82313116832654,1.9852910582341388
Exit_0_Station_79,4.16,354.399086576223,373.32151075117235,1.9852910582341388
Exit_0_Station_80,4.19,354.40086691466064,373.2760252412993,1.9852910582341388
Exit_0_Station_81,4.23,355.1570461596638,372.859606737556,1.9852910582341388
Exit_0_Station_82,4.24,354.3577960241435,373.499001881058,1.9852910582341388
Exit_0_Station_83,4.2,354.72264404892735,373.0251897838011,1.9852910582341388
Exit_0_Station_84,4.21,354.89420241910614,373.6015401729973,1.9852910582341388
Exit_0_Station_85,4.22,354.8845160556743,373.14378310076285,1.9852910582341388
Exit_0_Station_86,4.2,355.22954612766176,372.8217272358143,1.9852910582341388
